1,3-1,阿姨,a1 yi2,maternal aunt; step-mother; childcare worker; nursemaid; woman of similar age to one's parents (term of address used by child); CL:個|个[ge4],,
2,3-2,啊,a5,"modal particle ending sentence, showing affirmation, approval, or consent",,
3,3-3,矮,ai3,low; short (in length),,
4,1-1,爱,ai4,to love; affection; to be fond of; to like,,
5,3-5,爱好,ai4 hao4,to like; to take pleasure in; keen on; fond of; interest; hobby; appetite for; CL:個|个[ge4],,
6,3-6,安静,an1 jing4,quiet; peaceful; calm,,
7,1-2,八,ba1,eight; 8,,
8,3-8,把,ba3,to hold; to contain; to grasp; to take hold of; a handle; particle marking the following noun as a direct object; classifier for objects with handle,,
9,1-3,爸爸,ba4 ba5,"(informal) father; CL:個|个[ge4],位[wei4]",,
10,2-4,吧,ba5,(modal particle indicating polite suggestion); ...right?; ...OK?,,
11,2-5,白,bai2,white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; surname Bai,,
12,2-6,百,bai3,hundred; numerous; all kinds of; surname Bai,,
13,3-13,班,ban1,team; class; squad; work shift; classifier for groups; ranking; surname Ban; CL:個|个[ge4],,
14,3-14,搬,ban1,to move; to shift; to remove; to transport; to apply indiscriminately; to copy mechanically,,
15,3-15,半,ban4,half; semi-; incomplete; (after a number) and a half,,
16,3-16,办法,ban4 fa3,"means; method; way (of doing sth); CL:條|条[tiao2],個|个[ge4]",,
17,3-17,办公室,ban4 gong1 shi4,an office; business premises; a bureau; CL:間|间[jian1],,
18,3-18,帮忙,bang1 mang2,to help; to lend a hand; to do a favor; to do a good turn,,
19,2-7,帮助,bang1 zhu4,assistance; aid; to help; to assist,,
20,3-20,包,bao1,"to cover; to wrap; to hold; to include; to take charge of; package; wrapper; container; bag; to hold or embrace; bundle; packet; to contract (to or for); surname Bao; CL:個|个[ge4],隻|只[zhi1]",,
21,3-21,饱,bao3,to eat till full; satisfied,,
22,2-8,报纸,bao4 zhi3,"newspaper; newsprint; CL:份[fen4],期[qi1],張|张[zhang1]",,
23,1-4,杯子,bei1 zi5,"cup; glass; CL:個|个[ge4],支[zhi1],枝[zhi1]",,
24,3-24,北方,bei3 fang1,north; the northern part a country; China north of the Yellow River,,
25,1-5,北京,Bei3 jing1,"Beijing, capital of People's Republic of China; Peking; PRC government",,
26,3-26,被,bei4,by (indicates passive-voice sentences or clauses); quilt; to cover (literary),,
27,1-6,本,ben3,"roots or stems of plants; origin; source; this; the current; root; foundation; basis; classifier for books, periodicals, files etc; originally",,
28,3-28,鼻子,bi2 zi5,"nose; CL:個|个[ge4],隻|只[zhi1]",,
29,2-12,比,bi3 ,"(particle used for comparison and ""-er than""); to compare; to contrast; to gesture (with hands); ratio",,
30,3-30,比较,bi3 jiao4,compare; contrast; fairly; comparatively; relatively; quite; rather,,
31,3-31,比赛,bi3 sai4,"competition (sports etc); match; CL:場|场[chang3],次[ci4]",,
32,3-32,必须,bi4 xu1,to have to; must; compulsory; necessarily,,
33,3-33,变化,bian4 hua4,change; variation; to change; to vary; CL:個|个[ge4],,
34,3-34,表示,biao3 shi4,to express; to show; to say; to state; to indicate; to mean,,
35,3-35,表演,biao3 yan3,play; show; performance; exhibition; to perform; to act; to demonstrate; CL:場|场[chang3],,
36,2-13,别,bie2,to leave; to depart; to separate; to distinguish; to classify; other; another; do not; must not; to pin,,
37,3-37,别人,bie2 ren2,other people; others; other person,,
38,3-38,宾馆,bin1 guan3,"guesthouse; CL:個|个[ge4],家[jia1]",,
39,3-39,冰箱,bing1 xiang1,"icebox; freezer cabinet; refrigerator; CL:臺|台[tai2],個|个[ge4]",,
40,1-7,不客气,bu2 ke4 qi5,you're welcome; impolite; rude; blunt; don't mention it,,
41,1-8,不,bu4,(negative prefix); not; no,,
42,3-42,才,cai2,ability; talent; endowment; gift; an expert; only (then); only if; just,,
43,1-9,菜,cai4,"dish (type of food); vegetables; vegetable; cuisine; CL:盤|盘[pan2],道[dao4]",,
44,3-44,菜单,cai4 dan1,"menu; CL:份[fen4],張|张[zhang1]",,
45,3-45,参加,can1 jia1,to participate; to take part; to join,,
46,3-46,草,cao3,"grass; straw; manuscript; draft (of a document); careless; rough; CL:棵[ke1],撮[zuo3],株[zhu1],根[gen1]",,
47,3-47,层,ceng2,layer; stratum; laminated; floor (of a building); storey; classifier for layers; repeated; sheaf (math.),,
48,1-10,茶,cha2,"tea; tea plant; CL:杯[bei1],壺|壶[hu2]",,
49,3-49,差,cha4,differ from; short of; to lack; poor,,
50,2-18,长,chang2,length; long; forever; always; constantly,,
51,2-19,唱歌,chang4 ge1,to sing a song,,
52,3-52,超市,chao1 shi4,supermarket (abbr.); CL:家[jia1],,
53,3-53,衬衫,chen4 shan1,shirt; blouse; CL:件[jian4],,
54,3-54,成绩,cheng2 ji4,"achievement; performance records; grades; CL:項|项[xiang4],個|个[ge4]",,
55,3-55,城市,cheng2 shi4,city; town; CL:座[zuo4],,
56,1-11,吃,chi1,to eat; to have one's meal; to eradicate; to destroy; to absorb; to suffer; to exhaust,,
57,3-57,迟到,chi2 dao4,to arrive late,,
58,2-21,出,chu1,"to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas etc",,
59,3-59,出现,chu1 xian4,to appear; to arise; to emerge; to show up,,
60,1-12,出租车,chu1 zu1 che1,taxi,,
61,3-61,厨房,chu2 fang2,kitchen; CL:間|间[jian1],,
62,3-62,除了,chu2 le5,besides; apart from (... also...); in addition to; except (for),,
63,2-23,穿,chuan1,to bore through; pierce; perforate; penetrate; pass through; to dress; to wear; to put on; to thread,,
64,2-24,船,chuan2,"a boat; vessel; ship; CL:條|条[tiao2],艘[sou1],隻|只[zhi1]",,
65,3-65,春,chun1,spring (time); gay; joyful; youthful; love; lust; life,,
66,3-66,词语,ci2 yu3,word (general term including monosyllables through to short phrases); term (e.g. technical term); expression,,
67,2-25,次,ci4,"next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time",,
68,3-68,聪明,cong1 ming5,acute (of sight and hearing); clever; intelligent; bright; smart,,
69,2-26,从,cong2,"from; via; passing through; through (a gap); past; ever (followed by negative, meaning never); (formerly pr. zong4 and related to 縱|纵) to follow; to comply with; to obey; to join; to engage in; adopting some mode of action or attitude; follower; retainer; accessory; accomplice; related by common paternal grandfather or earlier ancestor; surname Cong",,
70,2-27,错,cuo4,mistake; error; blunder; fault; cross; uneven; wrong; CL:個|个[ge4],,
71,1-13,打电话,da3 dian4 hua4,to make a telephone call,,
72,2-29,打篮球,da3 lan2 qiu2,play basketball,,
73,3-73,打扫,da3 sao3,to clean; to sweep,,
74,3-74,打算,da3 suan4,to plan; to intend; to calculate; plan; intention; calculation; CL:個|个[ge4],,
75,1-14,大,da4,big; huge; large; major; great; wide; deep; oldest; eldest,,
76,2-31,大家,da4 jia1,authority; everyone,,
77,3-77,带,dai4,band; belt; girdle; ribbon; tire; area; zone; region; CL:條|条[tiao2]; to wear; to carry; to lead; to bring; to look after; to raise,,
78,3-78,担心,dan1 xin1,anxious; worried; uneasy; to worry; to be anxious,,
79,3-79,蛋糕,dan4 gao1,"cake; CL:塊|块[kuai4],個|个[ge4]",,
80,2-32,但是,dan4 shi4,but; however,,
81,3-81,当然,dang1 ran2,only natural; as it should be; certainly; of course; without doubt,,
82,2-33,到,dao4,to (a place); until (a time); up to; to go; to arrive,,
83,3-83,地,de5,"-ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct",,
84,1-15,的,de5,"of; structural particle: used before a noun, linking it to preceding possessive or descriptive attributive",,
85,2-35,得,de5,"structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc",,
86,3-86,灯,deng1,lamp; light; lantern; CL:盞|盏[zhan3],,
87,2-36,等,deng3,to wait for; to await,,
88,3-88,低,di1,low; beneath; to lower (one's head); to let droop; to hang down; to incline,,
89,2-37,弟弟,di4 di5,"younger brother; CL:個|个[ge4],位[wei4]",,
90,3-90,地方,di4 fang1,region; regional (away from the central administration),,
91,3-91,地铁,di4 tie3,subway; metro,,
92,3-92,地图,di4 tu2,"map; CL:張|张[zhang1],本[ben3]",,
93,2-38,第一,di4 yi1,first; number one,,
94,1-16,点,dian3,drop (of liquid); stain; spot; speck; jot; dot stroke (in Chinese characters); decimal point; point; mark (of degree or level); a place (with certain characteristics); iron bell; o’clock; a little; a bit; some; (point) unit of measurement for type; to touch on briefly; to make clear; to light; to ignite; to kindle; period of time at night (24 minutes) (old); a drip; to dibble; classifier for small indeterminate quantities,,
95,1-17,电脑,dian4 nao3,computer; CL:臺|台[tai2],,
96,1-18,电视,dian4 shi4,"television; TV; CL:臺|台[tai2],個|个[ge4]",,
97,3-97,电梯,dian4 ti1,"elevator; CL:臺|台[tai2],部[bu4]",,
98,1-19,电影,dian4 ying3,"movie; film; CL:部[bu4],片[pian4],幕[mu4],場|场[chang3]",,
99,3-99,电子邮件,dian4 zi3 you2 jian4,electronic mail; email; CL:封[feng1],,
100,3-100,东,dong1,east; host (i.e. sitting on east side of guest); landlord; surname Dong,,
101,1-20,东西,dong1 xi5,"thing; stuff; person; CL:個|个[ge4],件[jian4]",,
102,3-102,冬,dong1,winter,,
103,2-44,懂,dong3,to understand; to know,,
104,3-104,动物,dong4 wu4,"animal; CL:隻|只[zhi1],群[qun2],個|个[ge4]",,
105,1-21,都,dou1,"all, both; entirely (due to) each; even; already",,
106,1-22,读,du2,"to read; to study; reading of word (i.e. pronunciation), similar to 拼音[pin1 yin1]",,
107,3-107,短,duan3,short or brief; to lack; weak point; fault,,
108,3-108,段,duan4,"paragraph; section; segment; stage (of a process); classifier for stories, periods of time, lengths of thread etc",,
109,3-109,锻炼,duan4 lian4,to engage in physical exercise; to toughen; to temper,,
110,2-47,对,dui4,couple; pair; to be opposite; to oppose; to face; versus; for; to; correct (answer); to answer; to reply; to direct (towards sth); right,,
111,1-23,对不起,dui4 bu5 qi3,unworthy; to let down; I'm sorry; excuse me; pardon me; if you please; sorry? (please repeat),,
112,1-24,多,duo1,many; much; a lot of; numerous; multi-,,
113,3-113,多么,duo1 me5,how (wonderful etc); what (a great idea etc); however (difficult it may be etc),,
114,1-25,多少,duo1 shao3,number; amount; somewhat,,
115,3-115,饿,e4,to be hungry; hungry,,
116,3-116,而且,er2 qie3,(not only ...) but also; moreover; in addition; furthermore,,
117,1-26,儿子,er2 zi5,son,,
118,3-118,耳朵,er3 duo5,"ear; CL:隻|只[zhi1],個|个[ge4],對|对[dui4]",,
119,1-27,二,er4,two; 2; stupid (Beijing dialect),,
120,3-120,发烧,fa1 shao1,have a high temperature (from illness); have a fever,,
121,3-121,发现,fa1 xian4,to find; to discover,,
122,1-28,饭馆,fan4 guan3,restaurant; CL:家[jia1],,
123,3-123,方便,fang1 bian4,convenient; to help out; to make things easy for people; convenience; suitable; having money to spare; (euphemism) to go to the toilet,,
124,2-54,房间,fang2 jian1,room; CL:間|间[jian1],,
125,3-125,放,fang4,to release; to free; to let go; to put; to place; to let out; to set off (fireworks),,
126,3-126,放心,fang4 xin1,to set one's mind at rest; to be at ease; to rest,,
127,2-55,非常,fei1 chang2,unusual; extraordinary; extreme; very; exceptional,,
128,1-29,飞机,fei1 ji1,airplane; CL: 架[jia4],,
129,3-129,分,fen1,to divide; to separate; to allocate; to distinguish (good and bad); part or subdivision; fraction; one tenth (of certain units); unit of length equivalent to 0.33 cm; minute; a point (in sports or games); 0.01 yuan (unit of money),,
130,1-30,分钟,fen1 zhong1,minute,,
131,2-58,服务员,fu2 wu4 yuan2,waiter; waitress; attendant; customer service personnel; CL:個|个[ge4],,
132,3-132,附近,fu4 jin4,(in the) vicinity; nearby; neighboring; next to,,
133,3-133,复习,fu4 xi2,to revise; to review; revision; CL:次[ci4],,
134,3-134,干净,gan1 jing4,clean; neat,,
135,3-135,敢,gan3,to dare; daring; (polite) may I venture,,
136,3-136,感冒,gan3 mao4,"to catch cold; (common) cold; CL:場|场[chang2],次[ci4]",,
137,3-137,刚才,gang1 cai2,just now; a moment ago,,
138,2-59,高,gao1,high; tall; above average; loud; your (honorific); surname Gao,,
139,1-31,高兴,gao1 xing4,happy; glad; willing (to do sth); in a cheerful mood,,
140,2-61,告诉,gao4 su5,to tell; to inform; to let know,,
141,2-62,哥哥,ge1 ge5,"older brother; CL:個|个[ge4],位[wei4]",,
142,1-32,个,ge4,individual; this; that; size; classifier for people or objects in general,,
143,2-64,给,gei3,to; for; for the benefit of; to give; to allow; to do sth (for sb); (passive particle),,
144,3-144,跟,gen1,heel; to follow closely; to go with; to marry sb (of woman); with; towards; as (compared to); from (different from); and (in addition to),,
145,3-145,根据,gen1 ju4,according to; based on; basis; foundation; CL:個|个[ge4],,
146,3-146,更,geng1,to change or replace; to experience; one of the five two hour periods into which the night was formerly divided; watch (eg of a sentry or guard),,
147,2-65,公共汽车,gong1 gong4 qi4 che1,"bus; CL:輛|辆[liang4],班[ban1]",,
148,2-66,公斤,gong1 jin1,kilogram (kg),,
149,2-67,公司,gong1 si1,(business) company; company; firm; corporation; incorporated; CL:家[jia1],,
150,3-150,公园,gong1 yuan2,public park; CL:場|场[chang3],,
151,1-33,工作,gong1 zuo4,"job; work; construction; task; CL:個|个[ge4],份[fen4],項|项[xiang4]",,
152,1-34,狗,gou3,"dog; CL:隻|只[zhi1],條|条[tiao2]",,
153,3-153,故事,gu4 shi4,old practice; CL:個|个[ge4],,
154,3-154,刮风,gua1 feng1,to be windy,,
155,3-155,关,guan1,mountain pass; to close; to shut; to turn off; to concern; to involve,,
156,3-156,关系,guan1 xi4,relation; relationship; to concern; to affect; to have to do with; guanxi; CL:個|个[ge4],,
157,3-157,关心,guan1 xin1,to care for sth; caring; concerned,,
158,3-158,关于,guan1 yu2,pertaining to; concerning; regarding; with regards to; about; a matter of,,
159,2-70,贵,gui4,expensive; noble; your (name); precious,,
160,3-160,国家,guo2 jia1,country; nation; state; CL:個|个[ge4],,
161,3-161,果汁,guo3 zhi1,fruit juice,,
162,3-162,过去,guo4 qu5,(in the) past; former; previous; to go over; to pass by,,
163,2-71,过,guo4,(experienced action marker); to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-; surname Guo,,
164,2-72,还,hai2,still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else,,
165,3-165,还是,hai2 shi4,or; still; nevertheless,,
166,2-73,孩子,hai2 zi5,child,,
167,3-167,害怕,hai4 pa4,to be afraid; to be scared,,
168,1-35,汉语,Han4 yu3,Chinese language; CL:門|门[men2],,
169,1-36,好,hao3,good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness),,
170,2-76,好吃,hao3 chi1,tasty; delicious,,
171,2-77,号,hao4,day of a month; (suffix used after) name of a ship; (ordinal) number,,
172,1-37,喝,he1,to drink; to shout (a command); My goodness!,,
173,1-38,和,he2,and; together with; with; sum; union; peace; harmony; surname He; Japanese related; Taiwan pr.  han4,,
174,3-174,河,he2,"river; CL:條|条[tiao2],道[dao4]",,
175,2-80,黑,hei1,black; dark; abbr. for Heilongjiang 黑龍江|黑龙江 province in northeast China,,
176,3-176,黑板,hei1 ban3,"blackboard; CL:塊|块[kuai4],個|个[ge4]",,
177,1-39,很,hen3,(adverb of degree); quite; very; awfully,,
178,2-82,红,hong2,bonus; popular; red; revolutionary,,
179,1-40,后面,hou4 mian5,rear; back; behind; later; afterwards,,
180,3-180,护照,hu4 zhao4,"passport; CL:本[ben3],個|个[ge4]",,
181,3-181,花,hua1,"flower; blossom; fancy pattern; CL:朵[duo3],支[zhi1],束[shu4],把[ba3],盆[pen2],簇[cu4]; to spend (money, time); surname Hua",,
182,3-182,花园,hua1 yuan2,"garden; CL:座[zuo4],個|个[ge4]",,
183,3-183,画,hua4,"to draw; picture; painting; CL:幅[fu2],張|张[zhang1]",,
184,3-184,坏,huai4,bad; spoiled; broken; to break down,,
185,2-84,欢迎,huan1 ying2,to welcome; welcome,,
186,3-186,还,huan3,to pay back; to return; surname Huan,,
187,3-187,环境,huan2 jing4,environment; circumstances; surroundings; CL:個|个[ge4]; ambient,,
188,3-188,换,huan4,change; exchange,,
189,3-189,黄,huang2,yellow; pornographic; to fall through,,
190,1-41,回,hui2,to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book),,
191,2-86,回答,hui2 da2,to reply; to answer; the answer; CL:個|个[ge4],,
192,1-42,会,hui4,can; be possible; be able to; will; be likely to; be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個|个[ge4]; a moment (Taiwan pr. for this sense is hui3),,
193,3-193,会议,hui4 yi4,"meeting; conference; CL:場|场[chang3],屆|届[jie4]",,
194,1-43,火车站,huo3 che1 zhan4,train station,,
195,3-195,或者,huo4 zhe3,or; possibly; maybe; perhaps,,
196,2-89,机场,ji1 chang3,"airport; airfield; CL:家[jia1],處|处[chu4]",,
197,2-90,鸡蛋,ji1 dan4,"(chicken) egg; hen's egg; CL:個|个[ge4],打[da2]",,
198,3-198,几乎,ji1 hu1,almost; nearly; practically,,
199,3-199,机会,ji1 hui4,opportunity; chance; occasion; CL:個|个[ge4],,
200,3-200,极,ji2,"extremely; pole (geography, physics); utmost; top",,
201,1-44,几,ji3,how much; how many; several; a few,,
202,3-202,记得,ji4 de5,to remember,,
203,3-203,季节,ji4 jie2,time; season; period; CL:個|个[ge4],,
204,1-45,家,jia1,"home; family; classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for specialists in some activity such as musician or revolutionary, corresponds to English -ist, -er, -ary or -ian; surname Jia; CL:個|个[ge4]",,
205,3-205,检查,jian3 cha2,inspection; to examine; to inspect; CL:次[ci4],,
206,3-206,简单,jian3 dan1,simple; not complicated,,
207,2-93,件,jian4,"item; component; classifier for events, things, clothes etc",,
208,3-208,健康,jian4 kang1,health; healthy,,
209,3-209,见面,jian4 mian4,to meet; to see sb; CL:次[ci4],,
210,3-210,讲,jiang3,to speak; to explain; to negotiate; to emphasise; to be particular about; as far as sth is concerned; speech; lecture,,
211,3-211,教,jiao1,to teach,,
212,3-212,脚,jiao3,"foot; leg; base; kick; CL:雙|双[shuang1],隻|只[zhi1]",,
213,3-213,角,jiao3,angle; corner; horn; horn-shaped; unit of money equal to 0.1 yuan; CL:個|个[ge4],,
214,1-46,叫,jiao4,to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood),,
215,2-95,教室,jiao4 shi4,classroom; CL:間|间[jian1],,
216,3-216,接,jie1,to receive; to answer (the phone); to meet or welcome sb; to connect; to catch; to join; to extend; to take one's turn on duty; take over for sb,,
217,3-217,街道,jie1 dao4,street; CL:條|条[tiao2],,
218,3-218,结婚,jie2 hun1,to marry; to get married; CL:次[ci4],,
219,3-219,结束,jie2 shu4,termination; to finish; to end; to conclude; to close,,
220,3-220,节目,jie2 mu4,"program; item (on a program); CL:臺|台[tai2],個|个[ge4],套[tao4]",,
221,3-221,节日,jie2 ri4,holiday; festival; CL:個|个[ge4],,
222,2-96,姐姐,jie3 jie5,older sister; CL:個|个[ge4],,
223,3-223,解决,jie3 jue2,to settle (a dispute); to resolve; to solve,,
224,3-224,借,jie4,to lend; to borrow; excuse; pretext; by means of; to seize (an opportunity); to take (an opportunity),,
225,2-97,介绍,jie4 shao4,to present; to introduce; to recommend; to suggest; to let know; to brief,,
226,1-47,今天,jin1 tian1,today; at the present; now,,
227,2-99,进,jin4,"to advance; to enter; to come (or go) into; to receive or admit; to eat or drink; to submit or present; (used after a verb) into, in; to score a goal",,
228,2-100,近,jin4,near; close to; approximately,,
229,3-229,经常,jing1 chang2,day to day; everyday; daily; frequently; constantly; regularly; often,,
230,3-230,经过,jing1 guo4,to pass; to go through; process; course; CL:個|个[ge4],,
231,3-231,经理,jing1 li3,"manager; director; CL:個|个[ge4],位[wei4],名[ming2]",,
232,1-48,九,jiu3,nine; 9,,
233,3-233,久,jiu3,(long) time; (long) duration of time,,
234,3-234,旧,jiu4,old; opposite: new 新; former; worn (with age),,
235,2-102,就,jiu4,at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning,,
236,3-236,举行,ju3 xing2,"to hold (a meeting, ceremony etc)",,
237,3-237,句子,ju4 zi5,sentence; CL:個|个[ge4],,
238,2-103,觉得,jue2 de5,to think; to feel,,
239,3-239,决定,jue2 ding4,"to decide (to do something); to resolve; decision; CL:個|个[ge4],項|项[xiang4]; certainly",,
240,2-104,咖啡,ka1 fei1,coffee; CL:杯[bei1],,
241,1-49,开,kai1,to open; to start; to turn on; to boil; to write out (a medical prescription); to operate (vehicle); abbr. for 開爾文|开尔文 degrees Kelvin,,
242,2-106,开始,kai1 shi3,to begin; beginning; to start; initial; CL:個|个[ge4],,
243,1-50,看,kan4,to see; to look at; to read; to watch; to consider; to regard as; to view as; to treat as; to judge; (after repeated verb) to give it a try; depending on (how you're judging); to visit; to call on; to treat (an illness); to look after; Watch out! (for a danger),,
244,1-51,看见,kan4 jian4,to see; to catch sight of,,
245,2-109,考试,kao3 shi4,exam; CL:次[ci4],,
246,3-246,渴,ke3,thirsty,,
247,3-247,可爱,ke3 ai4,amiable; cute; lovely,,
248,2-110,可能,ke3 neng2,might (happen); possible; probable; possibility; probability; maybe; perhaps; CL:個|个[ge4],,
249,2-111,可以,ke3 yi3,can; may; possible; able to,,
250,3-250,刻,ke4,quarter (hour); moment; to carve; to engrave; to cut; oppressive; classifier for short time intervals,,
251,2-112,课,ke4,"subject; course; class; lesson; CL:堂[tang2],节|節[jie2],門|门[men2]",,
252,3-252,客人,ke4 ren2,visitor; guest; customer; client; CL:位[wei4],,
253,3-253,空调,kong1 tiao2,air conditioning,,
254,3-254,口,kou3,"mouth; classifier for things with mouths (people, domestic animals, cannons, wells etc)",,
255,3-255,哭,ku1,to cry; to weep,,
256,3-256,裤子,ku4 zi5,trousers; pants; CL:條|条[tiao2],,
257,1-52,块,kuai4,"lump (of earth); chunk; piece; classifier for pieces of cloth, cake, soap etc; colloquial word for yuan (or other unit of currency such as Hong Kong or US dollar etc), usually as 塊錢|块钱",,
258,2-114,快,kuai4,rapid; quick; speed; rate; soon; almost; to make haste; clever; sharp (of knives or wits); forthright; plain-spoken; gratified; pleased; pleasant,,
259,2-115,快乐,kuai4 le4,happy; merry,,
260,3-260,筷子,kuai4 zi5,"chopsticks; CL:對|对[dui4],根[gen1],把[ba3],雙|双[shuang1]",,
261,1-53,来,lai2,to come; to arrive; to come round; ever since; next,,
262,3-262,蓝,lan2,blue; indigo plant,,
263,3-263,老,lao3,prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; old (of people); venerable (person); experienced; of long standing; always; all the time; of the past; very; outdated; (of meat etc) tough,,
264,1-54,老师,lao3 shi1,"teacher; CL:個|个[ge4],位[wei4]",,
265,1-55,了,le5,(modal particle intensifying preceding clause); (completed action marker),,
266,2-119,累,lei4,tired; weary; to strain; to wear out; to work hard,,
267,1-56,冷,leng3,cold,,
268,2-121,离,li2,to leave; to part from; to be away from; (in giving distances) from; without (sth); independent of; one of the eight trigrams of the Book of Changes representing fire (old),,
269,3-269,离开,li2 kai1,to depart; to leave,,
270,1-57,里,li3,lining; interior; inside; internal; also written 裡|里 [li3],,
271,3-271,礼物,li3 wu4,"gift; present; CL:件[jian4],個|个[ge4],份[fen4]",,
272,3-272,历史,li4 shi3,"history; CL:門|门[men2],段[duan4]",,
